unit_id,X1_team_size,X2_avg_employee_age,department,role_level,remote_ratio,digital_maturity_score,A_copilot_treatment,Y_observed_productivity_outcome,Y0_no_copilot,Y1_with_copilot,true_treatment_effect,propensity_score
38,5,37.29,Sales,Entry,0.74,0.21,1,67.127,61.707,67.127,5.42,0.3893
39,11,37.71,Legal,Senior,0.31,0.56,0,69.201,69.201,74.221,5.02,0.7609
40,10,30.45,Legal,Mid,0.38,0.79,1,72.586,67.106,72.586,5.48,0.6562
41,8,28.1,Customer Support,Mid,0.25,0.31,0,55.833,55.833,61.453,5.62,0.355
42,10,48.22,Engineering,Senior,0.65,0.13,1,74.075,69.915,74.075,4.16,0.7895
43,9,44.59,Marketing,Entry,0.79,0.56,1,73.747,67.627,73.747,6.12,0.8048
44,9,36.12,Operations,Manager,0.67,0.76,0,66.327,66.327,71.747,5.42,0.718
45,5,34.05,HR,Manager,0.02,0.77,1,69.646,64.206,69.646,5.44,0.5106
46,6,35.94,Legal,Entry,0.35,0.89,1,72.865,67.185,72.865,5.68,0.6366
47,13,29.09,HR,Mid,0.12,0.99,1,74.438,68.558,74.438,5.88,0.7931
48,2,43.0,Engineering,Mid,0,0.21,1,62.656,58.336,62.656,4.32,0.3831
49,11,43.49,HR,Manager,0.32,0.47,1,76.124,71.284,76.124,4.84,0.8252
50,13,34.18,Marketing,Mid,1,0.29,0,68.667,68.667,74.247,5.58,0.6948
51,9,34.8,Finance,Entry,0.52,0.45,0,66.567,66.567,71.367,4.8,0.5944
52,12,34.14,Finance,Senior,1,0.06,1,72.706,68.686,72.706,4.02,0.5785
53,9,37.84,Sales,Senior,0.6,0.81,0,67.448,67.448,74.068,6.62,0.7613
54,8,41.49,Finance,Entry,0.61,0.81,0,68.469,68.469,73.989,5.52,0.7872
55,12,35.62,Engineering,Entry,0.94,0.57,1,75.622,70.582,75.622,5.04,0.7621
56,4,24.55,Operations,Senior,0.25,0.7,0,56.098,56.098,61.398,5.3,0.2516
57,9,25.44,Marketing,Manager,0.46,0.03,0,64.11,64.11,69.17,5.06,0.2596
58,12,33.37,Engineering,Senior,0.54,0.28,1,72.519,68.059,72.519,4.46,0.6354
59,10,37.66,Customer Support,Manager,0.84,0.6,1,74.735,68.535,74.735,6.2,0.7368
60,9,35.75,Marketing,Senior,0.81,0.63,1,74.093,67.833,74.093,6.26,0.6725
61,9,34.14,Marketing,Senior,0.69,0.43,1,70.531,64.671,70.531,5.86,0.5731
62,18,47.55,Sales,Entry,0.26,0.85,1,89.513,82.813,89.513,6.7,0.9761
63,6,36.74,HR,Senior,0.75,0.44,1,65.821,61.041,65.821,4.78,0.5007
64,11,41.26,Finance,Senior,0.25,0.44,1,73.167,68.387,73.167,4.78,0.7874
65,13,33.44,Legal,Senior,0.57,0.51,1,77.267,72.347,77.267,4.92,0.7435
66,6,32.21,Engineering,Entry,0.4,0.57,0,62.07,62.07,67.11,5.04,0.4444
67,9,37.69,Sales,Manager,1,0.07,1,71.21,66.07,71.21,5.14,0.5275
68,11,32.75,Legal,Manager,1,0.83,1,78.718,73.158,78.718,5.56,0.7483
69,17,38.81,HR,Mid,0.55,0.46,1,81.912,77.092,81.912,4.82,0.9
70,12,30.6,Operations,Senior,0.32,0.28,0,67.817,67.817,72.277,4.46,0.5759
71,7,28.56,Finance,Senior,0.52,0.66,1,63.824,58.604,63.824,5.22,0.439
72,9,42.91,HR,Manager,0.54,0.75,1,72.338,66.938,72.338,5.4,0.8223
73,10,21.11,Finance,Manager,0.68,0.57,0,61.893,61.893,66.933,5.04,0.3771
74,15,47.94,Operations,Entry,0.92,0.31,1,80.144,75.624,80.144,4.52,0.9205
75,10,27.49,Customer Support,Mid,1,0.15,0,59.155,59.155,64.455,5.3,0.3739
76,7,27.31,Legal,Mid,0.54,0.67,0,61.264,61.264,66.504,5.24,0.4148
77,11,23.88,Legal,Mid,0.27,0.25,0,61.439,61.439,65.839,4.4,0.3726
78,13,39.05,Customer Support,Mid,0.88,0.31,1,74.871,69.251,74.871,5.62,0.7839
79,6,36.66,Customer Support,Entry,0.52,0.12,1,64.707,59.467,64.707,5.24,0.3887
80,12,34.89,HR,Entry,0.59,0.5,0,70.76,70.76,75.66,4.9,0.7311
81,15,36.04,Customer Support,Manager,0.17,0.63,1,77.112,70.852,77.112,6.26,0.8612
82,12,37.81,Customer Support,Manager,0,0.28,1,71.79,66.23,71.79,5.56,0.7221
83,16,32.16,Marketing,Senior,0.16,0.85,1,82.27,75.57,82.27,6.7,0.877
84,9,25.22,Sales,Entry,0.55,0.26,1,69.767,64.247,69.767,5.52,0.3217
85,6,26.91,Engineering,Manager,0.67,0.39,0,54.173,54.173,58.853,4.68,0.2784
86,10,33.93,Operations,Senior,0.27,0.67,1,75.431,70.191,75.431,5.24,0.6883
87,16,29.95,Customer Support,Mid,0.18,0.27,1,75.253,69.713,75.253,5.54,0.7219
88,2,42.64,Engineering,Mid,0.85,0.16,0,58.507,58.507,62.727,4.22,0.3593
89,6,36.37,Finance,Manager,0.32,0.51,0,65.139,65.139,70.059,4.92,0.5168
90,11,30.82,Finance,Manager,0.63,0.41,1,70.056,65.336,70.056,4.72,0.5812
91,9,34.04,Finance,Manager,0.59,0.26,1,70.444,66.024,70.444,4.42,0.5118
92,7,43.0,HR,Senior,0.23,0.6,1,66.753,61.653,66.753,5.1,0.725
93,12,38.38,Legal,Manager,0.86,0.53,1,73.566,68.606,73.566,4.96,0.7951
94,10,30.39,Marketing,Manager,0.27,0.58,1,77.388,71.228,77.388,6.16,0.586
95,11,29.2,Finance,Senior,0.55,0.1,0,62.48,62.48,66.58,4.1,0.4374
96,13,28.26,Finance,Mid,0.12,0.02,1,69.142,65.202,69.142,3.94,0.4778
97,11,46.42,Operations,Entry,0.32,0.48,1,77.641,72.781,77.641,4.86,0.8617
98,7,37.38,Operations,Senior,0,0.7,0,64.125,64.125,69.425,5.3,0.6467
99,5,24.98,Marketing,Entry,0.51,0.85,0,58.883,58.883,65.583,6.7,0.3403
100,12,42.49,Legal,Entry,0.43,0.59,1,77.173,72.093,77.173,5.08,0.8594
101,11,36.66,HR,Mid,0.73,0.98,0,69.513,69.513,75.373,5.86,0.839
102,8,29.18,Operations,Mid,0.4,0.29,1,66.535,62.055,66.535,4.48,0.3711
103,7,26.44,Engineering,Senior,0.9,0.3,1,63.399,58.899,63.399,4.5,0.2808
104,7,29.12,Engineering,Entry,0.54,0.98,1,67.528,61.668,67.528,5.86,0.563
105,4,38.37,Marketing,Manager,0.7,0.4,1,67.557,61.757,67.557,5.8,0.4337
106,9,37.03,Finance,Senior,0.92,0.31,0,67.102,67.102,71.622,4.52,0.5955
107,5,34.36,Finance,Manager,1,0.76,1,69.445,64.025,69.445,5.42,0.5142
108,6,40.34,Operations,Entry,0.94,0.97,1,70.499,64.659,70.499,5.84,0.7443
109,6,34.72,Legal,Manager,0.75,0.29,0,59.812,59.812,64.292,4.48,0.404
110,4,37.96,Customer Support,Senior,0.28,0.1,1,65.296,60.096,65.296,5.2,0.3266
111,10,43.73,Sales,Mid,0,0.08,0,66.895,66.895,72.055,5.16,0.7001
112,10,42.32,Operations,Mid,0.69,0.06,0,68.13,68.13,72.15,4.02,0.6666
113,7,38.02,Marketing,Senior,0.51,0.36,1,67.723,62.003,67.723,5.72,0.5463
114,8,42.23,Sales,Entry,0.72,0.37,1,70.449,64.709,70.449,5.74,0.6811
115,10,47.09,HR,Manager,0,0.7,1,76.254,70.954,76.254,5.3,0.8827
116,7,32.59,Legal,Senior,0.23,0.5,1,66.882,61.982,66.882,4.9,0.4733
117,10,37.58,Legal,Mid,0.35,0.6,0,67.745,67.745,72.845,5.1,0.7353
118,8,35.48,Operations,Mid,0.24,0.8,1,71.392,65.892,71.392,5.5,0.6799
119,14,24.25,Finance,Senior,0,0.08,0,63.921,63.921,67.981,4.06,0.4538
120,15,23.59,Sales,Mid,0.84,0.09,0,64.426,64.426,69.606,5.18,0.4873
121,10,42.5,Sales,Senior,0.66,0.83,1,80.788,74.128,80.788,6.66,0.8566
122,11,40.26,Marketing,Senior,0.92,0.71,1,76.822,70.402,76.822,6.42,0.8317
123,6,48.83,Customer Support,Entry,0.69,0.41,0,67.187,67.187,73.007,5.82,0.7405
124,5,32.94,Legal,Manager,0.57,0.85,1,71.448,65.848,71.448,5.6,0.5135
125,3,34.81,Customer Support,Mid,0.26,0.84,1,65.345,58.665,65.345,6.68,0.4622
126,15,35.27,Operations,Manager,0.87,0.76,1,77.785,72.365,77.785,5.42,0.8741
127,9,37.84,Finance,Manager,0.62,0.12,0,65.022,65.022,69.162,4.14,0.5481
128,8,49.57,Sales,Entry,0.64,0.86,1,79.559,72.839,79.559,6.72,0.8914
129,6,35.48,Customer Support,Manager,0.69,0.96,0,64.184,64.184,71.104,6.92,0.6495
130,14,39.25,Operations,Mid,0.79,0.77,1,80.65,75.21,80.65,5.44,0.8938
131,5,35.34,Sales,Senior,0.67,0.82,1,67.824,61.184,67.824,6.64,0.5568
132,6,47.3,Customer Support,Senior,1,0.44,1,71.356,65.476,71.356,5.88,0.7217
133,9,41.17,Marketing,Senior,0.31,0.01,0,64.867,64.867,69.887,5.02,0.584
134,8,33.97,Marketing,Senior,0.16,0.47,0,63.396,63.396,69.336,5.94,0.5388
135,10,44.85,Legal,Manager,0.25,0.05,1,74.037,70.037,74.037,4.0,0.7123
136,6,34.36,Legal,Manager,0.09,0.87,1,69.609,63.969,69.609,5.64,0.5963
137,14,32.74,Sales,Entry,1,0.55,1,76.744,70.644,76.744,6.1,0.775
138,12,32.31,Customer Support,Manager,0.3,0.43,1,73.945,68.085,73.945,5.86,0.6615
139,14,40.29,Finance,Mid,0.45,0.26,1,74.503,70.083,74.503,4.42,0.8191
140,5,37.7,Finance,Senior,0.64,0.2,0,60.874,60.874,65.174,4.3,0.3949
141,2,38.63,Sales,Entry,0.28,0.35,0,57.507,57.507,63.207,5.7,0.3377
142,12,22.98,Customer Support,Entry,0.16,0.17,0,64.091,64.091,69.431,5.34,0.3696
143,10,32.97,HR,Manager,0,0.56,1,69.259,64.239,69.259,5.02,0.6344
144,14,37.22,Customer Support,Mid,0.81,0.4,1,77.79,71.99,77.79,5.8,0.8068
145,15,39.93,Engineering,Senior,0.93,0.32,1,80.54,76.0,80.54,4.54,0.8509
146,7,29.3,Customer Support,Senior,0.5,0.87,1,70.478,63.738,70.478,6.74,0.5288
147,10,33.42,Engineering,Mid,0.93,0.49,0,67.059,67.059,71.939,4.88,0.621
148,6,40.34,Engineering,Entry,1,0.91,1,74.878,69.158,74.878,5.72,0.7281
149,9,43.21,Legal,Mid,0.98,0.86,1,78.67,73.05,78.67,5.62,0.8472
150,13,42.34,Operations,Entry,0.95,0.64,1,77.492,72.312,77.492,5.18,0.8856
151,8,39.48,Operations,Mid,0.95,0.79,1,73.041,67.561,73.041,5.48,0.7502
152,10,31.12,Engineering,Manager,0.01,0.7,0,66.933,66.933,72.233,5.3,0.6412
153,9,35.04,Operations,Mid,0.52,0.01,1,70.723,66.803,70.723,3.92,0.447
154,4,25.41,HR,Entry,0.07,0.49,0,52.859,52.859,57.739,4.88,0.2129
155,15,36.72,Customer Support,Senior,0.57,0.0,0,74.729,74.729,79.729,5.0,0.7321
156,11,38.58,Marketing,Senior,0.85,0.48,0,65.416,65.416,71.376,5.96,0.7547
157,9,34.99,Operations,Mid,0.29,0.16,1,68.008,63.788,68.008,4.22,0.4984
158,10,37.69,Finance,Entry,0.23,0.54,1,74.212,69.232,74.212,4.98,0.7207
159,13,24.26,Marketing,Mid,0.23,0.08,0,62.563,62.563,67.723,5.16,0.4099
160,8,35.7,Sales,Senior,0.32,0.62,0,62.095,62.095,68.335,6.24,0.6274
161,13,29.06,Marketing,Entry,0.2,0.29,1,76.939,71.359,76.939,5.58,0.5894
162,8,39.64,Sales,Senior,0.68,0.33,1,70.811,65.151,70.811,5.66,0.6152
163,11,32.87,Finance,Manager,0.46,0.78,1,70.446,64.986,70.446,5.46,0.737
164,7,34.59,Legal,Mid,0.22,0.67,1,70.379,65.139,70.379,5.24,0.5771
165,10,36.81,Sales,Senior,0.38,0.05,1,69.182,64.082,69.182,5.1,0.5456
166,15,39.89,Operations,Entry,0.06,0.99,1,84.223,78.343,84.223,5.88,0.9356
167,10,41.26,Operations,Mid,0.31,0.43,1,74.246,69.486,74.246,4.76,0.7532
168,14,47.84,Operations,Senior,0.97,0.12,1,75.527,71.387,75.527,4.14,0.8802
169,7,33.59,Marketing,Senior,0.27,0.65,0,60.97,60.97,67.27,6.3,0.5482
170,9,24.19,HR,Mid,1,0.13,1,62.321,58.161,62.321,4.16,0.2648
171,13,44.29,HR,Mid,0.7,0.76,1,80.173,74.753,80.173,5.42,0.916
172,9,35.86,Finance,Manager,0,0.78,1,73.045,67.585,73.045,5.46,0.719
173,13,23.48,Customer Support,Manager,0.5,0.81,0,65.613,65.613,72.233,6.62,0.6428
174,13,28.35,Customer Support,Manager,0.2,0.36,0,67.779,67.779,73.499,5.72,0.5975
175,6,35.67,Finance,Mid,0.33,0.56,1,63.095,58.075,63.095,5.02,0.5186
176,4,30.16,Legal,Entry,0.62,0.1,0,55.464,55.464,59.564,4.1,0.1938
177,8,36.71,Customer Support,Mid,0.41,0.99,1,73.978,66.998,73.978,6.98,0.7558
178,9,22.08,Customer Support,Entry,0.12,0.9,0,65.046,65.046,71.846,6.8,0.4669
179,3,34.65,Marketing,Mid,0.31,0.73,1,67.106,60.646,67.106,6.46,0.4209
180,13,29.9,Sales,Manager,0.38,0.45,1,75.699,69.799,75.699,5.9,0.6595
181,9,32.97,Legal,Manager,0,0.56,1,69.897,64.877,69.897,5.02,0.5917
182,14,25.18,Engineering,Senior,0.27,0.46,1,70.045,65.225,70.045,4.82,0.606
183,15,31.31,Operations,Mid,0.16,0.8,1,80.19,74.69,80.19,5.5,0.8372
184,8,34.72,Sales,Mid,0,1.0,1,72.784,65.784,72.784,7.0,0.7241
185,7,37.95,Customer Support,Senior,0.22,0.61,1,69.942,63.722,69.942,6.22,0.6293
186,8,30.3,Sales,Mid,0.31,0.98,0,63.396,63.396,70.356,6.96,0.6317
187,8,23.93,Legal,Entry,0.22,0.87,0,67.933,67.933,73.573,5.64,0.4531
188,11,44.23,Engineering,Manager,0.6,0.23,1,75.72,71.36,75.72,4.36,0.7829
189,10,37.3,Finance,Entry,0.91,0.39,1,69.258,64.578,69.258,4.68,0.6688
190,10,39.47,HR,Entry,0.51,0.45,1,72.568,67.768,72.568,4.8,0.7275
191,14,37.11,Legal,Manager,0.25,0.31,1,77.705,73.185,77.705,4.52,0.7848
192,8,33.67,Sales,Entry,0.31,0.41,1,67.478,61.658,67.478,5.82,0.5112
193,13,40.55,Legal,Senior,0.78,0.13,0,69.659,69.659,73.819,4.16,0.7634
194,7,34.37,Customer Support,Manager,0.5,0.57,1,71.725,65.585,71.725,6.14,0.5377
195,8,35.74,Customer Support,Manager,0.43,0.67,1,73.192,66.852,73.192,6.34,0.6444
196,9,35.5,HR,Manager,0.68,0.99,1,75.121,69.241,75.121,5.88,0.7687
197,11,24.26,Customer Support,Mid,0.21,0.25,0,62.866,62.866,68.366,5.5,0.3807
198,8,29.57,Marketing,Entry,0.19,0.5,0,63.452,63.452,69.452,6.0,0.4506
199,16,39.25,HR,Manager,0.48,0.31,1,79.543,75.023,79.543,4.52,0.8637
200,11,35.65,Customer Support,Entry,0,0.82,1,78.125,71.485,78.125,6.64,0.792
201,9,40.82,Sales,Manager,0.12,0.04,0,65.771,65.771,70.851,5.08,0.5866
202,10,39.7,Engineering,Senior,0.26,0.72,1,75.948,70.608,75.948,5.34,0.7991
203,15,42.09,Operations,Manager,0.22,0.49,1,80.225,75.345,80.225,4.88,0.8979
204,5,35.19,Engineering,Mid,0.67,0.67,0,61.508,61.508,66.748,5.24,0.5012
205,3,34.49,HR,Entry,0.68,0.16,0,53.809,53.809,58.029,4.22,0.2438
206,13,41.33,Marketing,Entry,0.57,0.53,1,77.414,71.354,77.414,6.06,0.8584
207,10,32.79,Marketing,Manager,0.16,0.25,0,61.964,61.964,67.464,5.5,0.5252
208,15,31.88,Legal,Manager,0.81,0.31,1,75.846,71.326,75.846,4.52,0.7317
209,8,43.39,Engineering,Mid,0.99,0.91,1,74.557,68.837,74.557,5.72,0.8347
210,11,28.03,Operations,Entry,0.05,0.16,1,68.044,63.824,68.044,4.22,0.4322
211,7,32.52,Legal,Senior,0.41,0.56,0,59.868,59.868,64.888,5.02,0.4928
212,8,43.96,Engineering,Senior,0.28,0.53,0,68.688,68.688,73.648,4.96,0.7574
213,14,29.93,Sales,Entry,0.58,0.73,1,76.014,69.554,76.014,6.46,0.7747
214,6,43.15,Legal,Manager,0.62,0.77,1,71.537,66.097,71.537,5.44,0.7392
215,11,20,Operations,Senior,0.69,0.95,0,63.931,63.931,69.731,5.8,0.5275
216,5,36.44,Legal,Manager,0.18,0.76,0,62.139,62.139,67.559,5.42,0.5606
217,12,31.45,HR,Senior,0.22,0.41,1,73.131,68.411,73.131,4.72,0.6374
218,4,43.01,Legal,Senior,0.16,0.51,0,62.733,62.733,67.653,4.92,0.5756
219,10,40.86,Operations,Mid,0.12,0.42,1,75.106,70.366,75.106,4.74,0.7437
220,9,37.44,Finance,Senior,0.34,0.34,1,65.529,60.949,65.529,4.58,0.6143
221,6,31.97,Engineering,Senior,0.3,0.35,0,62.673,62.673,67.273,4.6,0.3652
222,8,39.26,HR,Senior,0.36,0.47,1,70.482,65.642,70.482,4.84,0.6528
223,10,28.85,HR,Entry,0.84,0.33,0,64.047,64.047,68.607,4.56,0.4648
224,16,24.83,Operations,Senior,0.72,0.21,0,68.161,68.161,72.481,4.32,0.6008
225,10,31.97,Finance,Entry,0.75,0.18,1,71.126,66.866,71.126,4.26,0.4823
226,16,29.75,Operations,Manager,0.98,0.22,1,74.945,70.605,74.945,4.34,0.7038
227,10,34.65,Sales,Senior,0.83,0.62,0,66.772,66.772,73.012,6.24,0.6871
228,5,40.39,HR,Mid,0.32,0.26,0,60.709,60.709,65.129,4.42,0.4749
229,10,20,Finance,Manager,0.2,0.96,0,62.435,62.435,68.255,5.82,0.486
230,9,28.14,HR,Manager,0.61,0.49,1,68.093,63.213,68.093,4.88,0.4597
231,8,26.71,Customer Support,Mid,0.51,0.81,1,69.471,62.851,69.471,6.62,0.4944
232,11,31.55,HR,Senior,0.54,0.57,1,69.978,64.938,69.978,5.04,0.6497
233,8,36.99,Sales,Entry,0.59,0.1,0,62.088,62.088,67.288,5.2,0.4773
234,9,40.88,Legal,Entry,0.29,0.22,0,65.357,65.357,69.697,4.34,0.6472
235,13,38.72,HR,Entry,0.68,0.3,1,78.106,73.606,78.106,4.5,0.7764
236,6,30.31,Marketing,Manager,0.43,0.14,0,57.25,57.25,62.53,5.28,0.2698
237,11,25.02,Finance,Manager,0.45,0.61,0,67.552,67.552,72.672,5.12,0.5214
238,6,30.17,Legal,Entry,0.71,0.64,0,58.309,58.309,63.489,5.18,0.4234
239,10,47.68,Sales,Manager,0.24,0.0,0,71.278,71.278,76.278,5.0,0.7485
240,6,28.99,Finance,Manager,0.8,0.68,0,62.375,62.375,67.635,5.26,0.4112
241,13,31.82,Customer Support,Mid,0.34,0.68,1,76.744,70.384,76.744,6.36,0.7606
242,11,37.64,Operations,Mid,0.39,0.66,1,74.167,68.947,74.167,5.22,0.7844
243,8,36.31,Marketing,Senior,0.78,0.65,1,72.04,65.74,72.04,6.3,0.6496
244,8,33.43,Operations,Senior,1.0,0.97,0,64.468,64.468,70.308,5.84,0.6914
245,6,40.64,HR,Senior,0.04,0.93,0,66.283,66.283,72.043,5.76,0.7388
246,6,29.1,Legal,Mid,0.63,0.33,0,56.053,56.053,60.613,4.56,0.3018
247,14,38.24,Finance,Senior,0.25,0.79,0,76.009,76.009,81.489,5.48,0.8877
248,11,20,Legal,Senior,0.49,0.83,1,71.71,66.15,71.71,5.56,0.4855
249,4,40.66,Customer Support,Manager,0.8,0.8,0,62.917,62.917,69.517,6.6,0.6223
250,9,34.39,Sales,Entry,0,0.65,1,73.81,67.51,73.81,6.3,0.6514
251,8,38.53,Engineering,Manager,0.98,0.84,1,72.774,67.194,72.774,5.58,0.7472
252,3,33.76,Legal,Manager,0.81,0.06,1,57.367,53.347,57.367,4.02,0.2078
253,5,33.98,Finance,Mid,0.29,0.3,0,59.471,59.471,63.971,4.5,0.3494
254,8,32.43,Sales,Manager,0.97,0.95,1,74.526,67.626,74.526,6.9,0.6657
255,13,24.63,HR,Entry,0.43,0.87,1,70.578,64.938,70.578,5.64,0.6846
256,5,34.42,Customer Support,Mid,0.4,0.58,0,60.282,60.282,66.442,6.16,0.4526
257,14,42.78,Legal,Entry,0.68,0.4,1,80.278,75.578,80.278,4.7,0.8732
258,11,36.42,Sales,Senior,0.1,0.84,1,76.374,69.694,76.374,6.68,0.8074
259,8,29.11,Customer Support,Mid,0.13,0.29,0,58.951,58.951,64.531,5.58,0.3695
260,8,31.48,Operations,Manager,0.97,0.15,0,59.355,59.355,63.555,4.2,0.3736
261,9,34.92,Legal,Senior,0.69,0.56,1,69.458,64.438,69.458,5.02,0.6334
262,9,36.15,Customer Support,Manager,0.51,0.18,0,65.982,65.982,71.342,5.36,0.5313
263,11,33.15,HR,Entry,1,0.57,1,73.813,68.773,73.813,5.04,0.6817
264,8,38.15,Engineering,Entry,0.31,0.85,0,64.993,64.993,70.593,5.6,0.7434
265,10,41.44,Finance,Entry,0,0.45,1,74.971,70.171,74.971,4.8,0.7612
266,9,22.27,Finance,Senior,0.71,0.94,0,62.424,62.424,68.204,5.78,0.4851
267,12,25.49,Marketing,Mid,0.42,0.33,0,64.445,64.445,70.105,5.66,0.4789
268,8,36.55,Marketing,Senior,0.87,0.24,0,62.424,62.424,67.904,5.48,0.5164
269,11,37.19,Marketing,Senior,0.2,0.71,1,75.842,69.422,75.842,6.42,0.7893
270,9,33.96,Sales,Senior,0.35,0.6,1,73.799,67.599,73.799,6.2,0.6263
271,6,43.9,Marketing,Senior,0.2,0.62,0,63.344,63.344,69.584,6.24,0.7107
272,10,45.02,Marketing,Mid,0.57,0.6,1,78.947,72.747,78.947,6.2,0.8444
273,2,34.94,Sales,Manager,0.84,0.89,0,58.813,58.813,65.593,6.78,0.4379
274,11,40.04,Customer Support,Entry,0.21,0.68,0,69.463,69.463,75.823,6.36,0.8228
275,8,50.66,Customer Support,Manager,0.24,0.34,1,76.981,71.301,76.981,5.68,0.8139
276,9,33.3,Operations,Manager,0.56,0.97,1,75.807,69.967,75.807,5.84,0.7261
277,7,35.49,Sales,Entry,0.11,0.37,0,60.826,60.826,66.566,5.74,0.493
278,9,27.43,Customer Support,Mid,0.85,0.61,0,64.23,64.23,70.45,6.22,0.4856
279,7,35.93,Marketing,Senior,0.73,0.86,0,65.992,65.992,72.712,6.72,0.6677
280,12,33.65,Sales,Mid,0.98,0.23,1,72.494,67.034,72.494,5.46,0.6248
281,8,32.76,Finance,Manager,0.91,0.76,1,69.566,64.146,69.566,5.42,0.6112
282,12,32.29,Finance,Mid,0.71,0.74,1,73.078,67.698,73.078,5.38,0.7506
283,9,30.67,Finance,Entry,0.29,0.12,1,67.557,63.417,67.557,4.14,0.3889
284,7,26.65,Engineering,Entry,0.23,0.89,0,60.307,60.307,65.987,5.68,0.4761
285,10,30.74,HR,Manager,0.36,0.22,0,65.029,65.029,69.369,4.34,0.4688
286,11,37.63,HR,Mid,0.18,0.14,0,68.439,68.439,72.619,4.18,0.6371
287,5,30.5,Legal,Manager,0.3,0.55,0,60.741,60.741,65.741,5.0,0.3577
288,8,44.41,Engineering,Senior,0.54,0.89,1,75.491,69.811,75.491,5.68,0.8432
289,13,46.13,Sales,Manager,0.87,0.52,1,80.174,74.134,80.174,6.04,0.902
290,6,34.93,Legal,Entry,0.92,0.16,0,57.864,57.864,62.084,4.22,0.3652
291,15,24.16,HR,Manager,0,0.35,1,71.972,67.372,71.972,4.6,0.5902
292,7,35.51,Marketing,Manager,0.94,0.02,1,61.737,56.697,61.737,5.04,0.3737
293,10,38.07,Legal,Entry,0.87,0.3,1,72.542,68.042,72.542,4.5,0.6561
